,Date,Price
36,2011-01-31,20.21
37,2011-02-28,19.47
38,2011-03-31,20.25
39,2011-04-30,20.29
40,2011-05-31,21.93
41,2011-06-30,21.73
42,2011-07-31,21.05
43,2011-08-31,22.35
44,2011-09-30,26.68
45,2011-10-31,25.63
46,2011-11-30,26.16
47,2011-12-31,27.97
48,2012-01-31,26.19
49,2012-02-29,27.12
50,2012-03-31,26.63
51,2012-04-30,26.94
52,2012-05-31,27.91
53,2012-06-30,27.68
54,2012-07-31,28.37
55,2012-08-31,28.49
56,2012-09-30,29.7
57,2012-10-31,29.74
58,2012-11-30,29.52
59,2012-12-31,29.91
60,2013-01-31,29.09
61,2013-02-28,28.72
62,2013-03-31,27.83
63,2013-04-30,28.06
64,2013-05-31,25.45
65,2013-06-30,25.58
66,2013-07-31,24.44
67,2013-08-31,26.33
68,2013-09-30,29.21
69,2013-10-31,28.08
70,2013-11-30,28.81
71,2013-12-31,28.6
72,2014-01-31,27.24
73,2014-02-28,27.6
74,2014-03-31,28.62
75,2014-04-30,26.78
76,2014-05-31,27.83
77,2014-06-30,24.8
78,2014-07-31,26.08
79,2014-08-31,25.79
80,2014-09-30,25.71
81,2014-10-31,24.7
82,2014-11-30,24.3
83,2014-12-31,23.92
84,2015-01-31,24.56
85,2015-02-28,25.7
86,2015-03-31,24.62
87,2015-04-30,24.14
88,2015-05-31,24.53
89,2015-06-30,24.51
90,2015-07-31,24.18
91,2015-08-31,22.74
92,2015-09-30,24.43
93,2015-10-31,23.66
94,2015-11-30,24.11
95,2015-12-31,23.11
96,2016-01-31,22.8
97,2016-02-29,24.33
98,2016-03-31,26.52
99,2016-04-30,25.79
100,2016-05-31,27.48
101,2016-06-30,26.5
102,2016-07-31,28.02
103,2016-08-31,28.46
104,2016-09-30,27.82
105,2016-10-31,28.18
106,2016-11-30,27.41
107,2016-12-31,26.16
108,2017-01-31,25.58
109,2017-02-28,26.43
110,2017-03-31,26.93
111,2017-04-30,26.08
112,2017-05-31,26.18
113,2017-06-30,26.29
114,2017-07-31,25.68
115,2017-08-31,25.66
116,2017-09-30,26.82
117,2017-10-31,26.58
118,2017-11-30,26.34
119,2017-12-31,26.25
120,2018-01-31,26.44
121,2018-02-28,27.14
122,2018-03-31,27.18
123,2018-04-30,27.45
124,2018-05-31,27.7
125,2018-06-30,27.65
126,2018-07-31,27.14
127,2018-08-31,26.52
128,2018-09-30,26.88
129,2018-10-31,27.17
130,2018-11-30,28.43
131,2018-12-31,27.26
132,2019-01-31,28.18
133,2019-02-28,29.47
134,2019-03-31,29.07
135,2019-04-30,28.09
136,2019-05-31,27.81
137,2019-06-30,28.53
138,2019-07-31,29.59
139,2019-08-31,30.46
140,2019-09-30,34.45
141,2019-10-31,32.64
142,2019-11-30,34.18
143,2019-12-31,33.41
144,2020-01-31,34.35
145,2020-02-29,36.21
146,2020-03-31,37.03
147,2020-04-30,38.24
148,2020-05-31,42.73
149,2020-06-30,41.21
150,2020-07-31,43.0
151,2020-08-31,47.29
152,2020-09-30,45.46
153,2020-10-31,44.1
154,2020-11-30,44.62
155,2020-12-31,42.29
156,2021-01-31,43.81
157,2021-02-28,42.34
158,2021-03-31,39.96
159,2021-04-30,39.1
160,2021-05-31,40.69
161,2021-06-30,42.83
162,2021-07-31,40.91
163,2021-08-31,41.53
164,2021-09-30,40.83
165,2021-10-31,40.21
166,2021-11-30,41.28
167,2021-12-31,41.21
168,2022-01-31,41.73
169,2022-02-28,41.55
170,2022-03-31,44.39
171,2022-04-30,44.57
172,2022-05-31,44.16
173,2022-06-30,43.52
174,2022-07-31,44.36
175,2022-08-31,44.22
176,2022-09-30,43.35
177,2022-10-31,43.14
178,2022-11-30,43.31
179,2022-12-31,45.37
180,2023-01-31,47.17
181,2023-02-28,49.41
182,2023-03-31,47.77
183,2023-04-30,50.8
184,2023-05-31,51.31
185,2023-06-30,50.99
186,2023-07-31,49.56
187,2023-08-31,50.69
188,2023-09-30,50.37
189,2023-10-31,48.83
190,2023-11-30,51.76
191,2023-12-31,53.29