,Date,Closing Price
0,2014-01-01,10.488
1,2014-02-03,9.994
2,2014-03-03,10.355
3,2014-04-01,11.184
4,2014-05-01,11.139
5,2014-06-02,12.256
6,2014-07-01,12.75
7,2014-08-01,12.74
8,2014-09-01,13.459
9,2014-10-01,13.322
10,2014-11-03,13.974
11,2014-12-01,14.357
12,2015-01-01,13.902
13,2015-02-02,14.756
14,2015-03-02,15.021
15,2015-04-01,14.429
16,2015-05-01,13.741
17,2015-06-01,14.165
18,2015-07-01,14.245
19,2015-08-03,14.412
20,2015-09-01,13.149
21,2015-10-01,13.418
22,2015-11-02,13.596
23,2015-12-01,13.433
24,2016-01-01,13.44
25,2016-02-01,12.745
26,2016-03-01,12.184
27,2016-04-01,13.04
28,2016-05-02,13.189
29,2016-06-01,13.836
30,2016-07-01,14.129
31,2016-08-01,14.669
32,2016-09-01,14.914
33,2016-10-03,14.801
34,2016-11-01,14.621
35,2016-12-01,13.867
36,2017-01-02,13.817
37,2017-02-01,14.737
38,2017-03-01,15.134
39,2017-04-03,15.644
40,2017-05-01,15.754
41,2017-06-01,16.296
42,2017-07-03,16.34
43,2017-08-01,17.227
44,2017-09-01,17.002
45,2017-10-02,16.688
46,2017-11-01,17.797
47,2017-12-01,17.253
48,2018-01-01,17.783
49,2018-02-01,18.765
50,2018-03-01,17.839
51,2018-04-02,17.446
52,2018-05-01,18.34
53,2018-06-01,18.301
54,2018-07-02,18.273
55,2018-08-01,19.488
56,2018-09-03,19.916
57,2018-10-01,18.937
58,2018-11-01,17.876
59,2018-12-03,18.737
60,2019-01-01,18.788
61,2019-02-01,18.765
62,2019-03-01,18.733
63,2019-04-01,20.128
64,2019-05-01,20.258
65,2019-06-03,20.865
66,2019-07-01,20.518
67,2019-08-01,19.041
68,2019-09-02,19.147
69,2019-10-01,19.728
70,2019-11-01,20.682
71,2019-12-02,20.955
72,2020-01-01,21.187
73,2020-02-03,20.365
74,2020-03-02,19.369
75,2020-04-01,14.424
76,2020-05-01,17.153
77,2020-06-01,17.109
78,2020-07-01,18.157
79,2020-08-03,18.988
80,2020-09-01,20.014
81,2020-10-01,19.923
82,2020-11-02,20.393
83,2020-12-01,22.91
84,2021-01-01,24.5
85,2021-02-01,24.961
86,2021-03-01,25.825
87,2021-04-01,26.016
88,2021-05-03,25.613
89,2021-06-01,27.299
90,2021-07-01,27.545
91,2021-08-02,27.949
92,2021-09-01,30.049
93,2021-10-01,30.858
94,2021-11-01,31.59
95,2021-12-01,30.262
96,2022-01-03,31.072
97,2022-02-01,30.983
98,2022-03-01,29.648
99,2022-04-01,31.182
100,2022-05-02,30.131
101,2022-06-01,29.278
102,2022-07-01,27.953
103,2022-08-01,30.812
104,2022-09-01,31.226
105,2022-10-03,30.05
106,2022-11-01,32.323
107,2022-12-01,33.509
108,2023-01-02,32.408
109,2023-02-01,31.373
110,2023-03-01,31.097
111,2023-04-03,30.996
112,2023-05-01,32.19
113,2023-06-01,33.023
114,2023-07-03,34.552
115,2023-08-01,35.323
116,2023-09-01,34.866
117,2023-10-02,35.223
118,2023-11-01,34.089
119,2023-12-01,36.398
120,2024-01-01,39.034
121,2024-02-01,38.966
122,2024-03-01,40.163
123,2024-04-01,40.371
124,2024-05-01,40.618
125,2024-06-03,41.937
126,2024-07-01,43.578
127,2024-08-01,45.167
128,2024-09-02,45.737
129,2024-10-01,46.669
130,2024-11-01,43.836
131,2024-12-02,43.979
132,2025-01-01,43.012
133,2025-02-03,42.371
134,2025-03-03,40.161
135,2025-04-01,42.056
136,2025-05-02,44.196